name,phoneNumber,email,address,userAgent,hexcolor
"Miss Shanie Walsh",574.966.4374,laurence97@gmail.com,"50769 Jamar Forks Suite 395
North Brennanside, VT 16086-0592","Mozilla/5.0 (compatible; MSIE 11.0; Windows 98; Win 9x 4.90; Trident/3.0)",#d14655
"Magali Predovic",1-515-720-6509,dkeebler@gmail.com,"5872 Walsh Isle
South Liam, NH 93158","Mozilla/5.0 (iPhone; CPU iPhone OS 7_2_2 like Mac OS X; en-US) AppleWebKit/534.28.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6534.28.7",#b4c3ad
"Florence Schaefer Sr.","(735) 581-3201",qhackett@hotmail.com,"8722 Kessler Light
South Bennett, VT 68043-6995","Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_0 rv:4.0; sl-SI) AppleWebKit/534.37.6 (KHTML, like Gecko) Version/4.0.2 Safari/534.37.6",#78edf4
"Johanna Nader",+19164016374,rohan.timmothy@gmail.com,"2524 Torphy Drive Apt. 986
Rolandobury, KY 64930-6220","Opera/9.61 (X11; Linux x86_64; en-US) Presto/2.9.324 Version/10.00",#3006d0
"Chasity Kuvalis",406.822.2318,kweber@ebert.net,"28026 Mann Squares
Port Darian, AZ 37270","Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_1 like Mac OS X; sl-SI) AppleWebKit/533.8.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.8.6",#e06386
"Margaretta Herman",+1-579-545-6786,valerie.hettinger@yahoo.com,"400 Wiza Crest Suite 259
Lake Tryciatown, DC 16410-8285","Mozilla/5.0 (X11; Linux i686; rv:7.0) Gecko/20101116 Firefox/37.0",#c5fab9
"Alexzander Steuber",295-678-9778,oschmitt@labadie.com,"1266 Matteo Shores Apt. 573
New Duncanshire, NV 53146","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_1 rv:2.0; sl-SI) AppleWebKit/532.4.3 (KHTML, like Gecko) Version/5.0.1 Safari/532.4.3",#998e7c
"Armando Reichert",1-857-646-2106,ukonopelski@medhurst.org,"29435 Kacie Extension Suite 660
Eribertostad, DC 18854-3796","Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.43.7 (KHTML, like Gecko) Version/5.0 Safari/532.43.7",#880912
"Mrs. Clementine Weimann",1-539-423-1024,kaden.jakubowski@yahoo.com,"5822 Swift Highway
New Gabriella, NV 54938","Mozilla/5.0 (iPad; CPU OS 7_2_2 like Mac OS X; sl-SI) AppleWebKit/535.30.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.30.3",#94b768
"Ms. Della O'Kon",903.232.8560,jacynthe.padberg@koepp.com,"35416 Gregorio Way Apt. 866
West Name, UT 81618-8057","Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/4.1)",#d6a819
